instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
ubo100,24,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 5, 5, 6, 12, 1, 1, 1, 1, 4, 2, 6, 1, 2, 8, 1, 3, 1, 4, 1, 4, 8, 6, 7, 2, 3, 11, 2, 1, 4, 10, 1, 7, 3, 6, 4, 1, 3, 6, 11, 1, 9, 10, 4, 1, 3, 3, 2, 1, 6, 5, 7, 9, 4, 8, 1, 6, 7, 3, 1, 3, 8, 5, 1, 1, 9, 1, 1, 5, 2, 1, 3, 6, 7, 7, 10, 9, 7, 2, 6, 3, 7, 4, 2, 8, 5, 6, 6, 1, 12, 6, 12, 12, 7, 2, 4, 1, 7, 4, 7, 0]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]",0.1450049877166748,8.547286033630371,quantile_0.9,"[0, 1, 5, 5, 6, 12, 1, 1, 1, 1, 4, 2, 6, 1, 2, 8, 1, 3, 1, 4, 1, 4, 8, 6, 7, 2, 3, 11, 2, 1, 4, 10, 1, 7, 3, 6, 4, 1, 3, 6, 11, 1, 9, 10, 4, 1, 3, 3, 2, 1, 6, 5, 7, 9, 4, 8, 1, 6, 7, 3, 1, 3, 8, 5, 1, 1, 9, 1, 1, 5, 2, 1, 3, 6, 7, 7, 10, 9, 7, 2, 6, 3, 7, 4, 2, 8, 5, 6, 6, 1, 12, 6, 12, 12, 7, 2, 4, 1, 7, 4, 7, 0]",192.0
ubo100,24,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 5, 2, 4, 11, 2, 2, 1, 1, 5, 3, 7, 2, 5, 5, 1, 5, 1, 5, 1, 6, 12, 3, 9, 1, 2, 11, 1, 1, 3, 11, 1, 8, 7, 8, 5, 1, 6, 11, 8, 1, 10, 11, 3, 1, 5, 7, 4, 2, 5, 6, 7, 8, 2, 5, 1, 7, 7, 6, 1, 5, 4, 7, 1, 1, 8, 1, 1, 5, 2, 1, 7, 10, 5, 6, 10, 8, 5, 4, 9, 2, 7, 6, 4, 4, 6, 7, 7, 2, 9, 7, 12, 6, 7, 5, 3, 1, 11, 5, 8, 0]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]",0.1410529613494873,7.057915925979614,quantile_0.9,"[0, 1, 5, 2, 4, 11, 2, 2, 1, 1, 5, 3, 7, 2, 5, 5, 1, 5, 1, 5, 1, 6, 12, 3, 9, 1, 2, 11, 1, 1, 3, 11, 1, 8, 7, 8, 5, 1, 6, 11, 8, 1, 10, 11, 3, 1, 5, 7, 4, 2, 5, 6, 7, 8, 2, 5, 1, 7, 7, 6, 1, 5, 4, 7, 1, 1, 8, 1, 1, 5, 2, 1, 7, 10, 5, 6, 10, 8, 5, 4, 9, 2, 7, 6, 4, 4, 6, 7, 7, 2, 9, 7, 12, 6, 7, 5, 3, 1, 11, 5, 8, 0]",192.0
ubo100,24,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 4, 5, 6, 12, 2, 2, 1, 1, 4, 6, 4, 2, 5, 4, 1, 2, 1, 2, 1, 4, 8, 6, 12, 1, 4, 6, 2, 1, 2, 6, 1, 11, 5, 8, 6, 1, 5, 7, 9, 1, 9, 7, 7, 1, 2, 7, 3, 1, 4, 3, 4, 8, 5, 6, 1, 8, 5, 7, 2, 4, 4, 5, 2, 1, 9, 2, 1, 6, 2, 1, 4, 7, 4, 8, 11, 9, 8, 3, 7, 3, 5, 5, 4, 8, 5, 6, 7, 2, 9, 6, 9, 6, 7, 2, 3, 1, 11, 2, 5, 0]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]",0.14837884902954102,6.281676769256592,quantile_0.9,"[0, 1, 4, 5, 6, 12, 2, 2, 1, 1, 4, 6, 4, 2, 5, 4, 1, 2, 1, 2, 1, 4, 8, 6, 12, 1, 4, 6, 2, 1, 2, 6, 1, 11, 5, 8, 6, 1, 5, 7, 9, 1, 9, 7, 7, 1, 2, 7, 3, 1, 4, 3, 4, 8, 5, 6, 1, 8, 5, 7, 2, 4, 4, 5, 2, 1, 9, 2, 1, 6, 2, 1, 4, 7, 4, 8, 11, 9, 8, 3, 7, 3, 5, 5, 4, 8, 5, 6, 7, 2, 9, 6, 9, 6, 7, 2, 3, 1, 11, 2, 5, 0]",192.0
ubo100,24,195.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 5, 6, 4, 6, 2, 1, 1, 1, 5, 2, 5, 3, 5, 8, 1, 2, 1, 3, 1, 3, 12, 5, 8, 2, 3, 6, 1, 1, 3, 7, 1, 9, 6, 7, 7, 2, 5, 11, 9, 1, 6, 8, 5, 1, 2, 5, 4, 1, 4, 3, 4, 10, 4, 7, 1, 5, 7, 3, 1, 2, 6, 3, 1, 1, 9, 2, 1, 6, 1, 1, 5, 11, 6, 6, 11, 12, 5, 5, 11, 2, 5, 5, 5, 4, 6, 8, 6, 1, 10, 4, 6, 12, 8, 6, 6, 1, 9, 3, 6, 0]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]",0.14983391761779785,8.039098024368286,quantile_0.9,"[0, 1, 5, 6, 4, 6, 2, 1, 1, 1, 5, 2, 5, 3, 5, 8, 1, 2, 1, 3, 1, 3, 12, 5, 8, 2, 3, 6, 1, 1, 3, 7, 1, 9, 6, 7, 7, 2, 5, 11, 9, 1, 6, 8, 5, 1, 2, 5, 4, 1, 4, 3, 4, 10, 4, 7, 1, 5, 7, 3, 1, 2, 6, 3, 1, 1, 9, 2, 1, 6, 1, 1, 5, 11, 6, 6, 11, 12, 5, 5, 11, 2, 5, 5, 5, 4, 6, 8, 6, 1, 10, 4, 6, 12, 8, 6, 6, 1, 9, 3, 6, 0]",193.0
ubo100,24,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 2, 5, 5, 8, 3, 2, 2, 1, 4, 6, 4, 2, 3, 7, 1, 6, 1, 2, 1, 5, 11, 4, 8, 2, 4, 9, 1, 1, 3, 9, 1, 7, 4, 8, 4, 2, 3, 10, 6, 1, 10, 12, 4, 1, 4, 3, 4, 1, 7, 4, 3, 7, 2, 5, 1, 7, 3, 5, 2, 3, 5, 4, 2, 1, 7, 1, 1, 2, 3, 1, 3, 10, 5, 7, 8, 11, 4, 2, 8, 3, 5, 3, 4, 4, 4, 6, 6, 1, 9, 5, 11, 7, 6, 5, 4, 1, 7, 3, 7, 0]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]","[0, 0, 88, 0, 0, 0, 15, 66, 148, 22, 127, 149, 152, 154, 34, 26, 148, 70, 104, 32, 97, 90, 38, 99, 69, 8, 100, 107, 73, 64, 121, 131, 148, 32, 136, 1, 146, 148, 18, 97, 183, 75, 109, 122, 8, 48, 27, 13, 169, 68, 31, 32, 16, 167, 174, 134, 169, 50, 128, 65, 49, 134, 30, 84, 163, 14, 11, 20, 102, 119, 145, 125, 161, 76, 112, 157, 93, 1, 184, 159, 3, 180, 68, 39, 123, 65, 111, 93, 22, 47, 48, 75, 128, 104, 150, 179, 189, 185, 170, 18, 51, 194]",0.15111279487609863,7.451902151107788,quantile_0.9,"[0, 1, 2, 5, 5, 8, 3, 2, 2, 1, 4, 6, 4, 2, 3, 7, 1, 6, 1, 2, 1, 5, 11, 4, 8, 2, 4, 9, 1, 1, 3, 9, 1, 7, 4, 8, 4, 2, 3, 10, 6, 1, 10, 12, 4, 1, 4, 3, 4, 1, 7, 4, 3, 7, 2, 5, 1, 7, 3, 5, 2, 3, 5, 4, 2, 1, 7, 1, 1, 2, 3, 1, 3, 10, 5, 7, 8, 11, 4, 2, 8, 3, 5, 3, 4, 4, 4, 6, 6, 1, 9, 5, 11, 7, 6, 5, 4, 1, 7, 3, 7, 0]",192.0
ubo100,25,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 2, 5, 2, 6, 1, 2, 2, 1, 2, 3, 5, 1, 7, 8, 9, 4, 1, 1, 1, 5, 6, 1, 6, 1, 7, 8, 7, 9, 1, 11, 4, 1, 4, 1, 5, 5, 3, 11, 2, 1, 2, 6, 5, 1, 9, 4, 1, 1, 8, 7, 5, 2, 3, 1, 7, 1, 1, 4, 6, 5, 2, 5, 1, 7, 5, 8, 5, 2, 1, 2, 8, 7, 4, 1, 1, 6, 5, 4, 6, 2, 4, 1, 5, 5, 2, 11, 9, 9, 2, 2, 8, 2, 4, 5, 8, 7, 6, 9, 5, 0]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]",0.11800980567932129,6.156105041503906,quantile_0.9,"[0, 1, 2, 5, 2, 6, 1, 2, 2, 1, 2, 3, 5, 1, 7, 8, 9, 4, 1, 1, 1, 5, 6, 1, 6, 1, 7, 8, 7, 9, 1, 11, 4, 1, 4, 1, 5, 5, 3, 11, 2, 1, 2, 6, 5, 1, 9, 4, 1, 1, 8, 7, 5, 2, 3, 1, 7, 1, 1, 4, 6, 5, 2, 5, 1, 7, 5, 8, 5, 2, 1, 2, 8, 7, 4, 1, 1, 6, 5, 4, 6, 2, 4, 1, 5, 5, 2, 11, 9, 9, 2, 2, 8, 2, 4, 5, 8, 7, 6, 9, 5, 0]",194.0
ubo100,25,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 3, 4, 2, 6, 1, 2, 2, 1, 2, 6, 5, 1, 6, 8, 7, 2, 1, 1, 1, 7, 7, 2, 4, 1, 7, 8, 9, 9, 1, 7, 2, 1, 5, 1, 4, 3, 5, 10, 2, 1, 2, 5, 6, 1, 9, 3, 1, 2, 9, 6, 4, 4, 2, 1, 6, 1, 1, 7, 9, 4, 4, 5, 1, 7, 4, 6, 3, 4, 1, 5, 6, 8, 6, 3, 1, 6, 4, 3, 8, 3, 4, 1, 4, 3, 2, 6, 6, 9, 2, 2, 9, 6, 7, 3, 9, 6, 6, 6, 5, 0]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]",0.11774778366088867,7.536839962005615,quantile_0.9,"[0, 1, 3, 4, 2, 6, 1, 2, 2, 1, 2, 6, 5, 1, 6, 8, 7, 2, 1, 1, 1, 7, 7, 2, 4, 1, 7, 8, 9, 9, 1, 7, 2, 1, 5, 1, 4, 3, 5, 10, 2, 1, 2, 5, 6, 1, 9, 3, 1, 2, 9, 6, 4, 4, 2, 1, 6, 1, 1, 7, 9, 4, 4, 5, 1, 7, 4, 6, 3, 4, 1, 5, 6, 8, 6, 3, 1, 6, 4, 3, 8, 3, 4, 1, 4, 3, 2, 6, 6, 9, 2, 2, 9, 6, 7, 3, 9, 6, 6, 6, 5, 0]",194.0
ubo100,25,195.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 2, 3, 2, 11, 1, 1, 2, 1, 1, 6, 6, 1, 7, 4, 5, 2, 1, 1, 1, 6, 7, 1, 6, 3, 4, 7, 8, 6, 1, 8, 6, 1, 3, 1, 8, 5, 5, 10, 1, 1, 3, 5, 7, 1, 5, 7, 2, 1, 6, 5, 8, 5, 1, 1, 5, 1, 1, 5, 9, 6, 5, 8, 1, 12, 5, 7, 6, 4, 1, 5, 8, 11, 6, 3, 1, 9, 2, 5, 7, 1, 7, 1, 5, 2, 1, 8, 7, 6, 3, 1, 6, 6, 4, 7, 10, 7, 6, 6, 7, 0]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]",0.11395001411437988,6.095376014709473,quantile_0.9,"[0, 1, 2, 3, 2, 11, 1, 1, 2, 1, 1, 6, 6, 1, 7, 4, 5, 2, 1, 1, 1, 6, 7, 1, 6, 3, 4, 7, 8, 6, 1, 8, 6, 1, 3, 1, 8, 5, 5, 10, 1, 1, 3, 5, 7, 1, 5, 7, 2, 1, 6, 5, 8, 5, 1, 1, 5, 1, 1, 5, 9, 6, 5, 8, 1, 12, 5, 7, 6, 4, 1, 5, 8, 11, 6, 3, 1, 9, 2, 5, 7, 1, 7, 1, 5, 2, 1, 8, 7, 6, 3, 1, 6, 6, 4, 7, 10, 7, 6, 6, 7, 0]",195.0
ubo100,25,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 3, 4, 3, 8, 1, 2, 3, 1, 2, 3, 5, 1, 8, 8, 6, 4, 1, 1, 1, 4, 4, 2, 5, 1, 8, 7, 7, 8, 1, 10, 6, 1, 3, 1, 4, 4, 7, 11, 2, 1, 2, 9, 5, 3, 7, 7, 2, 1, 8, 9, 8, 2, 3, 1, 8, 1, 1, 6, 9, 4, 4, 8, 1, 6, 4, 5, 6, 4, 1, 2, 6, 10, 3, 2, 1, 5, 4, 6, 4, 3, 6, 1, 8, 5, 1, 10, 8, 6, 2, 1, 9, 4, 6, 7, 7, 8, 4, 6, 4, 0]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]",0.12131595611572266,6.949017763137817,quantile_0.9,"[0, 1, 3, 4, 3, 8, 1, 2, 3, 1, 2, 3, 5, 1, 8, 8, 6, 4, 1, 1, 1, 4, 4, 2, 5, 1, 8, 7, 7, 8, 1, 10, 6, 1, 3, 1, 4, 4, 7, 11, 2, 1, 2, 9, 5, 3, 7, 7, 2, 1, 8, 9, 8, 2, 3, 1, 8, 1, 1, 6, 9, 4, 4, 8, 1, 6, 4, 5, 6, 4, 1, 2, 6, 10, 3, 2, 1, 5, 4, 6, 4, 3, 6, 1, 8, 5, 1, 10, 8, 6, 2, 1, 9, 4, 6, 7, 7, 8, 4, 6, 4, 0]",194.0
ubo100,25,194.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 1, 3, 4, 11, 1, 1, 1, 1, 1, 5, 8, 1, 7, 8, 5, 2, 1, 1, 1, 7, 6, 1, 5, 2, 5, 6, 9, 5, 1, 9, 2, 1, 5, 1, 7, 3, 4, 7, 1, 1, 1, 5, 6, 2, 8, 3, 2, 2, 5, 7, 6, 6, 3, 1, 7, 1, 1, 5, 7, 4, 2, 7, 1, 6, 6, 5, 3, 4, 1, 5, 5, 12, 6, 1, 1, 8, 3, 4, 4, 3, 5, 1, 8, 4, 2, 10, 9, 12, 3, 1, 6, 4, 4, 6, 11, 9, 5, 5, 3, 0]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]","[0, 0, 0, 0, 0, 0, 6, 3, 0, 105, 31, 70, 10, 28, 37, 17, 128, 77, 57, 145, 44, 30, 19, 148, 157, 128, 11, 148, 139, 18, 172, 87, 168, 39, 117, 74, 34, 35, 23, 79, 128, 50, 114, 60, 133, 57, 111, 73, 149, 131, 3, 56, 29, 118, 106, 27, 54, 70, 90, 51, 117, 66, 63, 36, 145, 154, 11, 92, 68, 48, 184, 106, 97, 114, 15, 28, 148, 98, 19, 130, 5, 184, 136, 5, 68, 44, 19, 24, 91, 76, 47, 153, 2, 12, 52, 71, 156, 149, 185, 88, 188, 194]",0.11482810974121094,6.385439872741699,quantile_0.9,"[0, 1, 1, 3, 4, 11, 1, 1, 1, 1, 1, 5, 8, 1, 7, 8, 5, 2, 1, 1, 1, 7, 6, 1, 5, 2, 5, 6, 9, 5, 1, 9, 2, 1, 5, 1, 7, 3, 4, 7, 1, 1, 1, 5, 6, 2, 8, 3, 2, 2, 5, 7, 6, 6, 3, 1, 7, 1, 1, 5, 7, 4, 2, 7, 1, 6, 6, 5, 3, 4, 1, 5, 5, 12, 6, 1, 1, 8, 3, 4, 4, 3, 5, 1, 8, 4, 2, 10, 9, 12, 3, 1, 6, 4, 4, 6, 11, 9, 5, 5, 3, 0]",194.0
